asset,length,category,keyword,first issued,ask price
FOXX,4,Brandable,Other,1444170923,10
FRAG,4,Dictionary,Other,1444715872,25
FRIO,4,Spanish,Other,1444710337,10
FSHARE,6,Finance,SHARE,1444079910,5
FSHARES,7,Finance,SHARE,1444073482,5
FSTOCK,6,Finance,STOCK,1444081139,5
FSTOCKS,7,Finance,STOCK,1444081139,5
FTRADE,6,Finance,TRADE,1444103476,5
FUELS,5,Dictionary,Other,1444170923,25
FUFU,4,Brandable,Other,1449974976,10
FUNDA,5,Finance,FUND,1444077100,5
FUNDB,5,Finance,FUND,1444077100,5
FUNDR,5,Finance,FUND,1444077100,5
FUNDX,5,Finance,FUND,1444077100,5
FUNDZ,5,Finance,FUND,1444077100,5
FURS,4,Dictionary,Other,1444170923,25
FUTR,4,Finance,Other,1443475730,10
FWIW,4,Acronym,Other,1449903863,25
FYEO,4,Acronym,Other,1449901081,25
GAAA,4,Acronym,AAA,1444150908,10
GAJE,4,Spanish,Other,1444710337,10
GALE,4,Dictionary,Other,1444170923,25
GALLOWAY,8,Name,Other,1444165380,10
GAMA,4,Spanish,Other,1444715872,10
GAMECOIN,8,Currency,Other,1450418734,100
GAMECOINS,9,Currency,Other,1450418734,100
GAMERCOIN,9,Currency,Other,1450418734,100
GAMEX,5,Internet,Other,1450418734,10
GANO,4,Spanish,Other,1444169691,10
GARRISON,8,Name,Other,1444165380,10
GASH,4,Dictionary,Other,1444170923,25
GASP,4,Dictionary,Other,1443475730,25
GATA,4,Spanish,Other,1449975485,10
GATO,4,Spanish,Other,1444169691,10
GATOS,5,Spanish,Other,1444169691,10
GBIT,4,Bitcoin,BIT,1444156909,10
GCOM,4,Internet,COM,1444162839,10
GCOMPANY,8,Business,COMPANY,1444069478,5
GCORP,5,Business,CORP,1444073482,5
GELT,4,Currency,MONEY,1444170923,100
GEMA,4,Spanish,Other,1444710337,10
GEMAS,5,Spanish,Other,1444710337,10
GENX,4,Brandable,Other,1444170923,10
GEOS,4,Spanish,Other,1444710337,10
GETT,4,Brandable,Other,1444170923,10
GFUND,5,Finance,FUND,1444077100,5
GHOLD,5,Finance,HOLD,1444082343,5
GHOLDINGS,9,Finance,HOLD,1444153894,5
GIGG,4,Brandable,Other,1444170923,10
GINN,4,Brandable,Other,1444170923,10
GINTO,5,Finance,GOLD,1449345534,5
GIPO,4,Finance,IPO,1444079910,10
GLAS,4,Brandable,Other,1443475730,10
GLLC,4,Business,LLC,1444073482,10
GLTD,4,Business,LTD,1444084382,10
GNET,4,Internet,NET,1444156909,10
GOLDY,5,Finance,GOLD,1444104831,5
GOOO,4,Brandable,OOO,1444153894,10
GOOP,4,Dictionary,Other,1444170923,25
GOTT,4,Brandable,Other,1444170923,10
GRAN,4,Spanish,Other,1444718589,10
GSHARE,6,Finance,SHARE,1444079910,5
GSHARES,7,Finance,SHARE,1444073482,5
GSTOCK,6,Finance,STOCK,1444081139,5
GSTOCKS,7,Finance,STOCK,1444081139,5
GTOKEN,6,Finance,TOKEN,1444082343,5
GTRADE,6,Finance,TRADE,1444103476,5
GTRANCHE,8,Finance,TRANCHE,1444076194,5
GUID,4,Internet,Other,1444170923,10
GUSTO,5,Dictionary,Other,1444170923,25
HAAA,4,Acronym,AAA,1444150908,10
HABERMAS,8,Philosophy,Other,1447992116,10
HAMPTON,7,Name,Other,1444165380,10
HANCOCK,7,Name,Other,1444165380,10
HASTE,5,Dictionary,Other,1444170923,25
HAVOC,5,Dictionary,Other,1444171469,25
HAYLOFT,7,Brandable,,1518008944,10
HCASH,5,Currency,CASH,1444082343,100
HCOIN,5,Currency,COIN,1444075253,100
HCOM,4,Internet,COM,1444162839,10
HCOMPANY,8,Business,COMPANY,1444069478,5
HCORP,5,Business,CORP,1444073482,5
HEDG,4,Finance,Other,1444170923,10
HEGEL,5,Philosophy,Other,1447992724,10
HEHE,4,Brandable,Other,1449974976,10
HEIDEGGER,9,Philosophy,Other,1447992116,10
HFUND,5,Finance,FUND,1444077100,5
HIJK,4,Acronym,Other,1449654348,10
HILO,4,Gambling,Other,1450145407,10
HIPO,4,Finance,IPO,1444079910,10
HJKL,4,Acronym,Other,1450143428,10
HLLC,4,Business,LLC,1444073482,10
HLTD,4,Business,LTD,1444084382,10
HMONEY,6,Currency,MONEY,1444084382,100
HOLDA,5,Finance,HOLD,1444081845,5
HOLDE,5,Finance,HOLD,1444081845,5
HOLDG,5,Finance,HOLD,1444081845,5
HOLDR,5,Finance,HOLD,1444081845,5
HOLDS,5,Finance,HOLD,1444081845,5
HOLDX,5,Finance,HOLD,1444081845,5
HONEST,6,Dictionary,Other,1444171469,25
HOPIUM,6,Internet,Other,1517353689,100
HOUSING,7,Dictionary,Other,1444171469,25
HOVER,5,Dictionary,Other,1444171469,25
HSHARE,6,Finance,SHARE,1444079910,5
HSHARES,7,Finance,SHARE,1444073482,5
HSTOCK,6,Finance,STOCK,1444081139,5
HSTOCKS,7,Finance,STOCK,1444081139,5
HTRADE,6,Finance,TRADE,1444103476,5
HUBB,4,Brandable,Other,1444170923,10
HUGG,4,Brandable,Other,1444170923,10
HULL,4,Name,Other,1444165380,10
HURST,5,Name,Other,1444165380,10
HYPERCOMPLEX,12,Dictionary,Other,1443139132,25
IAAA,4,Acronym,AAA,1444150908,10
IBBB,4,Acronym,BBB,1449974976,10
IBLOCK,6,Bitcoin,BLOCK,1444149258,5
ICASH,5,Currency,CASH,1444166834,100
ICCC,4,Acronym,Other,1449974976,10
ICOM,4,Internet,COM,1444162839,10
ICOMPANY,8,Business,COMPANY,1444069478,5
ICORP,5,Business,CORP,1444073482,5
IDEO,4,Spanish,Other,1444171469,10
IDID,4,Brandable,Other,1449943834,10
IFIF,4,Brandable,Other,1449975485,10
IGLOO,5,Dictionary,Other,1444172820,25
IGLU,4,Spanish,Other,1444718589,10
IGOLD,5,Finance,GOLD,1444103476,5
IHOLD,5,Finance,HOLD,1444082343,5
IHOLDINGS,9,Finance,HOLD,1444153894,5
IIPO,4,Finance,IPO,1444079910,10
ILLC,4,Business,LLC,1444073482,10
ILTD,4,Business,LTD,1444084382,10
IMONEY,6,Currency,MONEY,1444084382,100
IMSG,4,Brandable,Other,1449900303,10
INCREMENTAL,11,Dictionary,Other,1443136421,25
INDI,4,Brandable,Other,1443143217,10
INTERNETS,9,Internet,Other,1443206520,10
INVESTORS,9,Finance,Other,1444172820,5
IOTA,4,Dictionary,Other,1444171469,25
IPOA,4,Finance,IPO,1444079910,10
IPOB,4,Finance,IPO,1444079910,10
IPOC,4,Finance,IPO,1444079910,10
IPOO,4,Finance,IPO,1444079910,10
IQIQ,4,Acronym,Other,1449941124,10
IQQQ,4,Acronym,QQQ,1449942212,10
IREPORT,7,Brandable,Other,1444172820,10
IREWARD,7,Brandable,REWARD,1444149258,10
IROUND,6,Finance,ROUND,1444075545,5
ISERIES,7,Finance,SERIES,1444075253,5
ISHARE,6,Finance,SHARE,1444079910,5
ISTOCK,6,Finance,STOCK,1444081139,5
ISTOCKS,7,Finance,STOCK,1444081139,5
ITRANCHE,8,Finance,TRANCHE,1444076194,5
IVIV,4,Acronym,Other,1449976870,10
IVVY,4,Brandable,Other,1450145089,10
IVYY,4,Brandable,Other,1444171469,10
IWWW,4,Internet,WWW,1449975485,10
IXXX,4,Brandable,XXX,1449975485,10
JAAA,4,Acronym,AAA,1444150908,10
JCOM,4,Internet,COM,1444162839,10
JCOMPANY,8,Business,COMPANY,1444069478,5
JCORP,5,Business,CORP,1444073482,5
JETE,4,Dictionary,Other,1444171469,25
JETT,4,Brandable,Other,1444171469,10
JFUND,5,Finance,FUND,1444077100,5
JIAO,4,Name,Other,1443143217,10
JINN,4,Mythology,Other,1444171469,10
JIPO,4,Finance,IPO,1444079910,10
JLLC,4,Business,LLC,1444073482,10
JLTD,4,Business,LTD,1444084382,10
JMONEY,6,Currency,MONEY,1444084382,100
JOES,4,Name,Other,1444171469,10
JOYAS,5,Spanish,Other,1444710337,10
JSHARE,6,Finance,SHARE,1444079910,5
JSHARES,7,Finance,SHARE,1444073482,5
JSTOCK,6,Finance,STOCK,1444081139,5
JSTOCKS,7,Finance,STOCK,1444081139,5
JTRADE,6,Finance,TRADE,1444103476,5
KAAA,4,Acronym,AAA,1444150908,10
KANT,4,Philosophy,Other,1447921354,10
KCOIN,5,Currency,COIN,1444075253,100
KCOM,4,Internet,COM,1444162839,10
KCOMPANY,8,Business,COMPANY,1444069478,5
KCORP,5,Business,CORP,1444073482,5
KFUND,5,Finance,FUND,1444077100,5
KHAT,4,Dictionary,Other,1444171469,25
KIDD,4,Brandable,Other,1444171469,10
